Participant;SESSION;TRIAL_ORDER;Block;No. of edges;Targets;Crossed;Correct_ans;Response time;TOTAL_SCORE
1;1;1;1;3;mixed;uncrossed;1;22,6450363;0,475
1;1;2;1;3;indirect;crossed;0;22,6788184;0,475
1;1;3;1;4;indirect;uncrossed;0;20,8486023;0,475
1;1;4;1;5;direct;uncrossed;1;22,6279824;0,475
1;1;5;1;4;indirect;crossed;1;21,4933192;0,475
1;1;6;1;4;mixed;uncrossed;0;22,2891558;0,475
1;1;7;1;5;mixed;uncrossed;0;22,5591406;0,475
1;1;8;1;4;mixed;crossed;0;14,7126393;0,475
1;1;9;1;5;indirect;uncrossed;0;22,4922862;0,475
1;1;10;1;5;direct;crossed;0;23,6468721;0,475
1;1;11;1;4;direct;uncrossed;1;14,8478592;0,475
1;1;12;1;4;direct;crossed;1;22,3056963;0,475
1;1;13;1;3;mixed;crossed;0;23,6455456;0,475
1;1;14;1;3;direct;uncrossed;1;9,9497984;0,475
1;1;15;1;3;indirect;uncrossed;1;6,6271886;0,475
1;1;16;1;3;direct;crossed;1;22,6967643;0,475
1;1;17;1;5;mixed;crossed;1;21,1025819;0,475
1;1;18;2;4;indirect;uncrossed;0;21,9841959;0,475
1;1;19;2;5;mixed;crossed;1;21,3223368;0,475
1;1;20;2;4;direct;crossed;1;13,8141532;0,475
1;1;21;2;4;direct;uncrossed;0;15,4756626;0,475
1;1;22;2;3;indirect;uncrossed;1;8,3402984;0,475
1;1;23;2;4;mixed;crossed;0;;0,475
1;1;24;2;3;indirect;crossed;0;21,2213745;0,475
1;1;25;2;4;indirect;crossed;1;21,0329671;0,475
1;1;26;2;5;mixed;uncrossed;1;17,2210073;0,475
1;1;27;2;3;mixed;uncrossed;1;15,9162989;0,475
1;1;28;2;5;direct;uncrossed;0;10,3563758;0,475
1;1;29;2;5;indirect;crossed;0;21,8143308;0,475
1;1;30;2;4;mixed;uncrossed;0;20,8992353;0,475
1;1;31;2;3;direct;uncrossed;0;12,374168;0,475
1;1;32;2;3;direct;crossed;1;21,8487787;0,475
1;1;33;2;5;direct;crossed;0;15,3061693;0,475
1;1;34;2;5;indirect;uncrossed;0;17,0173929;0,475
1;1;35;2;5;indirect;crossed;0;22,034648;0,475
1;1;36;2;3;mixed;crossed;0;21,7470089;0,475
1;1;37;3;5;direct;crossed;0;13,3905375;0,475
1;1;38;3;3;direct;crossed;1;11,0361156;0,475
1;1;39;3;3;mixed;uncrossed;1;18,8134534;0,475
1;1;40;3;3;indirect;uncrossed;1;6,510022;0,475
1;1;41;3;3;direct;uncrossed;1;9,1173648;0,475
1;1;42;3;5;direct;uncrossed;1;15,2396408;0,475
1;1;43;3;3;mixed;crossed;0;12,8639847;0,475
1;1;44;3;4;direct;crossed;1;23,7126611;0,475
1;1;45;3;5;mixed;uncrossed;1;20,644868;0,475
1;1;46;3;4;direct;uncrossed;1;13,1021803;0,475
1;1;47;3;5;mixed;crossed;0;22,830396;0,475
1;1;48;3;3;indirect;crossed;1;15,5436341;0,475
1;1;49;3;4;mixed;crossed;0;13,3735105;0,475
1;1;50;3;4;indirect;uncrossed;1;7,6111751;0,475
1;1;51;3;5;indirect;crossed;0;21,2041224;0,475
1;1;52;3;4;indirect;crossed;0;11,7973741;0,475
1;1;53;3;5;indirect;uncrossed;0;18,5941705;0,475
1;1;54;3;4;mixed;uncrossed;1;19,8823183;0,475
1;2;1;1;5;mixed;crossed;0;10,7806707;0,475
1;2;2;1;3;direct;uncrossed;1;8,6455558;0,475
1;2;3;1;4;indirect;uncrossed;1;16,7807406;0,475
1;2;4;1;4;mixed;uncrossed;1;8,7973699;0,475
1;2;5;1;3;mixed;uncrossed;1;4,8977969;0,475
1;2;6;1;4;direct;uncrossed;0;13,3736338;0,475
1;2;7;1;3;indirect;uncrossed;1;19,9172318;0,475
1;2;8;1;4;direct;crossed;0;;0,475
1;2;9;1;3;direct;crossed;0;8,0024291;0,475
1;2;10;1;5;direct;uncrossed;0;;0,475
1;2;11;1;3;mixed;crossed;0;17,119671;0,475
1;2;12;1;3;indirect;crossed;0;;0,475
1;2;13;1;5;mixed;uncrossed;1;23,0036157;0,475
1;2;14;1;4;mixed;crossed;0;17,3206841;0,475
1;2;15;1;4;indirect;crossed;0;18,5265127;0,475
1;2;16;1;5;indirect;uncrossed;0;;0,475
1;2;17;1;5;direct;crossed;0;11,5447051;0,475
1;2;18;2;3;mixed;uncrossed;1;12,3404031;0,475
1;2;19;2;4;mixed;uncrossed;0;13,164337;0,475
1;2;20;2;5;indirect;uncrossed;0;;0,475
1;2;21;2;5;mixed;crossed;0;;0,475
1;2;22;2;3;direct;crossed;1;7,0852685;0,475
1;2;23;2;5;indirect;crossed;0;5,3054432;0,475
1;2;24;2;5;direct;crossed;0;22,8484751;0,475
1;2;25;2;4;direct;crossed;1;21,6100086;0,475
1;2;26;2;4;indirect;crossed;0;17,898862;0,475
1;2;27;2;3;indirect;uncrossed;1;8,1715386;0,475
1;2;28;2;4;indirect;uncrossed;1;6,0681296;0,475
1;2;29;2;3;mixed;crossed;1;22,8128709;0,475
1;2;30;2;4;direct;uncrossed;1;10,6952935;0,475
1;2;31;2;5;direct;uncrossed;1;11,6805009;0,475
1;2;32;2;5;indirect;crossed;0;;0,475
1;2;33;2;5;mixed;uncrossed;1;21,7803067;0,475
1;2;34;2;3;indirect;crossed;1;22,2224014;0,475
1;2;35;2;3;direct;uncrossed;1;7,018296;0,475
1;2;36;2;4;mixed;crossed;0;;0,475
1;2;37;3;4;mixed;crossed;0;;0,475
1;2;38;3;4;indirect;crossed;1;12,9497334;0,475
1;2;39;3;4;mixed;uncrossed;0;9,5266105;0,475
1;2;40;3;5;mixed;crossed;0;21,8654566;0,475
1;2;41;3;3;mixed;crossed;0;19,6983261;0,475
1;2;42;3;3;indirect;crossed;0;22,3739814;0,475
1;2;43;3;4;direct;uncrossed;1;8,7272349;0,475
1;2;44;3;5;indirect;crossed;0;;0,475
1;2;45;3;5;direct;uncrossed;1;19,984617;0,475
1;2;46;3;3;indirect;uncrossed;1;7,7811694;0,475
1;2;47;3;3;direct;crossed;0;;0,475
1;2;48;3;5;direct;crossed;0;23,596165;0,475
1;2;49;3;4;indirect;uncrossed;0;;0,475
1;2;50;3;5;indirect;uncrossed;0;18,6964262;0,475
1;2;51;3;4;direct;crossed;0;11,8992561;0,475
1;2;52;3;5;mixed;uncrossed;0;20,9187869;0,475
1;2;53;3;3;direct;uncrossed;1;6,8176511;0,475
1;2;54;3;3;mixed;uncrossed;1;9,1197862;0,475
2;1;1;1;4;indirect;uncrossed;1;12,171043;0,389
2;1;2;1;5;direct;uncrossed;1;22,9900187;0,389
2;1;3;1;5;direct;crossed;0;22,61086;0,389
2;1;4;1;4;direct;crossed;0;;0,389
2;1;5;1;5;mixed;crossed;0;20,7337914;0,389
2;1;6;1;4;direct;uncrossed;0;15,6961867;0,389
2;1;7;1;3;mixed;crossed;0;17,3216923;0,389
2;1;8;1;3;direct;crossed;0;;0,389
2;1;9;1;3;indirect;uncrossed;0;15,0505411;0,389
2;1;10;1;3;indirect;crossed;0;22,9010656;0,389
2;1;11;1;5;mixed;uncrossed;1;23,7971737;0,389
2;1;12;1;4;mixed;crossed;0;;0,389
2;1;13;1;3;direct;uncrossed;0;15,933941;0,389
2;1;14;1;3;mixed;uncrossed;1;11,3225967;0,389
2;1;15;1;4;mixed;uncrossed;0;20,8822412;0,389
2;1;16;1;5;indirect;uncrossed;0;23,5456362;0,389
2;1;17;1;4;indirect;crossed;0;;0,389
2;1;18;2;5;direct;uncrossed;1;19,0009769;0,389
2;1;19;2;3;direct;uncrossed;1;12,988984;0,389
2;1;20;2;3;indirect;crossed;0;21,696527;0,389
2;1;21;2;4;indirect;uncrossed;1;18,7300079;0,389
2;1;22;2;5;direct;crossed;0;22,7562755;0,389
2;1;23;2;4;direct;crossed;0;21,6618841;0,389
2;1;24;2;3;mixed;crossed;0;19,5938537;0,389
2;1;25;2;3;mixed;uncrossed;1;19,3479455;0,389
2;1;26;2;4;mixed;uncrossed;0;;0,389
2;1;27;2;3;direct;crossed;1;12,0861532;0,389
2;1;28;2;3;indirect;uncrossed;1;18,0009102;0,389
2;1;29;2;4;direct;uncrossed;0;14,1880054;0,389
2;1;30;2;5;indirect;uncrossed;0;23,6040782;0,389
2;1;31;2;5;mixed;crossed;0;22,5773791;0,389
2;1;32;2;5;indirect;crossed;0;23,4016322;0,389
2;1;33;2;5;mixed;uncrossed;0;18,8806524;0,389
2;1;34;2;5;indirect;crossed;0;17,2044322;0,389
2;1;35;2;4;indirect;crossed;1;22,2615804;0,389
2;1;36;2;4;mixed;crossed;0;16,8505223;0,389
2;1;37;3;4;direct;crossed;0;21,931824;0,389
2;1;38;3;3;indirect;uncrossed;1;9,8421927;0,389
2;1;39;3;5;indirect;crossed;0;;0,389
2;1;40;3;4;direct;uncrossed;1;12,7463532;0,389
2;1;41;3;4;indirect;crossed;0;21,1465624;0,389
2;1;42;3;4;mixed;crossed;0;19,4761084;0,389
2;1;43;3;5;mixed;crossed;0;23,5073119;0,389
2;1;44;3;4;mixed;uncrossed;0;;0,389
2;1;45;3;3;direct;uncrossed;0;20,7632338;0,389
2;1;46;3;5;indirect;uncrossed;0;15,4925801;0,389
2;1;47;3;5;mixed;uncrossed;0;6,7974103;0,389
2;1;48;3;3;indirect;crossed;0;22,292499;0,389
2;1;49;3;5;direct;crossed;0;21,7118685;0,389
2;1;50;3;3;mixed;crossed;0;23,9681801;0,389
2;1;51;3;4;indirect;uncrossed;0;16,5940657;0,389
2;1;52;3;5;direct;uncrossed;1;15,4413841;0,389
2;1;53;3;3;direct;crossed;0;15,1169792;0,389
2;1;54;3;3;mixed;uncrossed;1;8,5943989;0,389
2;2;1;1;5;direct;crossed;0;23,2043379;0,389
2;2;2;1;3;direct;crossed;1;16,8316396;0,389
2;2;3;1;4;direct;crossed;0;;0,389
2;2;4;1;3;indirect;uncrossed;1;13,6620401;0,389
2;2;5;1;3;mixed;crossed;1;18,4411858;0,389
2;2;6;1;4;indirect;crossed;0;18,458351;0,389
2;2;7;1;5;direct;uncrossed;1;17,9160095;0,389
2;2;8;1;3;indirect;crossed;1;22,6799589;0,389
2;2;9;1;3;mixed;uncrossed;1;18,3908586;0,389
2;2;10;1;5;mixed;uncrossed;1;12,3203923;0,389
2;2;11;1;4;mixed;uncrossed;1;16,3905517;0,389
2;2;12;1;5;mixed;crossed;0;23,1363151;0,389
2;2;13;1;4;indirect;uncrossed;1;18,0347643;0,389
2;2;14;1;5;indirect;uncrossed;1;23,3239387;0,389
2;2;15;1;4;direct;uncrossed;1;19,1194966;0,389
2;2;16;1;3;direct;uncrossed;1;9,9653127;0,389
2;2;17;1;4;mixed;crossed;0;;0,389
2;2;18;2;5;indirect;crossed;0;23,3063194;0,389
2;2;19;2;5;indirect;uncrossed;1;19,1847526;0,389
2;2;20;2;4;indirect;crossed;1;23,6109127;0,389
2;2;21;2;4;indirect;uncrossed;0;22,9164839;0,389
2;2;22;2;3;mixed;crossed;0;;0,389
2;2;23;2;4;direct;crossed;1;20,1875297;0,389
2;2;24;2;4;mixed;uncrossed;0;23,7638532;0,389
2;2;25;2;3;indirect;uncrossed;0;22,374747;0,389
2;2;26;2;5;direct;uncrossed;1;22,7633766;0,389
2;2;27;2;5;direct;crossed;0;22,9501244;0,389
2;2;28;2;5;mixed;uncrossed;0;22,7303079;0,389
2;2;29;2;5;mixed;crossed;0;23,1033201;0,389
2;2;30;2;5;indirect;crossed;0;22,2550721;0,389
2;2;31;2;3;direct;uncrossed;1;10,28865;0,389
2;2;32;2;3;mixed;uncrossed;1;9,8648427;0,389
2;2;33;2;4;mixed;crossed;0;23,6797537;0,389
2;2;34;2;3;indirect;crossed;0;19,6129531;0,389
2;2;35;2;4;direct;uncrossed;1;15,8977462;0,389
2;2;36;2;3;direct;crossed;1;22,3905427;0,389
2;2;37;3;3;mixed;uncrossed;1;12,7638923;0,389
2;2;38;3;3;direct;uncrossed;0;13,5261022;0,389
2;2;39;3;5;direct;crossed;1;23,3730683;0,389
2;2;40;3;4;direct;uncrossed;0;;0,389
2;2;41;3;4;direct;crossed;1;15,7463327;0,389
2;2;42;3;5;indirect;uncrossed;1;22,527664;0,389
2;2;43;3;5;indirect;crossed;0;23,1698048;0,389
2;2;44;3;3;indirect;uncrossed;0;22,6610189;0,389
2;2;45;3;3;direct;crossed;1;15,6446388;0,389
2;2;46;3;4;indirect;uncrossed;1;21,8487285;0,389
2;2;47;3;5;mixed;uncrossed;0;23,1028397;0,389
2;2;48;3;4;mixed;uncrossed;0;;0,389
2;2;49;3;5;mixed;crossed;0;21,4082181;0,389
2;2;50;3;4;indirect;crossed;1;22,915998;0,389
2;2;51;3;4;mixed;crossed;0;;0,389
2;2;52;3;3;mixed;crossed;0;22,4080693;0,389
2;2;53;3;5;direct;uncrossed;0;22,6115439;0,389
2;2;54;3;3;indirect;crossed;0;23,8822093;0,389
3;1;1;1;4;indirect;crossed;0;22,7796646;0,722
3;1;2;1;3;indirect;uncrossed;1;12,1026601;0,722
3;1;3;1;5;direct;crossed;0;23,7133616;0,722
3;1;4;1;4;indirect;uncrossed;1;4,373789;0,722
3;1;5;1;5;direct;uncrossed;1;15,7293951;0,722
3;1;6;1;4;mixed;crossed;0;22,5605713;0,722
3;1;7;1;4;direct;crossed;1;21,5432174;0,722
3;1;8;1;3;direct;crossed;0;12,4078649;0,722
3;1;9;1;3;mixed;crossed;1;20,6112724;0,722
3;1;10;1;3;mixed;uncrossed;1;11,882629;0,722
3;1;11;1;5;mixed;uncrossed;0;22,527182;0,722
3;1;12;1;3;direct;uncrossed;1;6,847759;0,722
3;1;13;1;5;indirect;uncrossed;0;23,6452829;0,722
3;1;14;1;4;direct;uncrossed;0;21,3568518;0,722
3;1;15;1;3;indirect;crossed;1;15,222211;0,722
3;1;16;1;4;mixed;uncrossed;0;;0,722
3;1;17;1;5;mixed;crossed;0;20,4587447;0,722
3;1;18;2;5;direct;uncrossed;1;13,6955174;0,722
3;1;19;2;4;mixed;uncrossed;1;22,407973;0,722
3;1;20;2;5;direct;crossed;1;20,3248698;0,722
3;1;21;2;5;indirect;uncrossed;0;18,4407876;0,722
3;1;22;2;4;direct;uncrossed;0;11,0860766;0,722
3;1;23;2;3;mixed;uncrossed;1;13,2193418;0,722
3;1;24;2;4;indirect;crossed;1;20,7474049;0,722
3;1;25;2;4;indirect;uncrossed;1;11,1874381;0,722
3;1;26;2;5;mixed;uncrossed;1;18,4923396;0,722
3;1;27;2;3;direct;crossed;1;11,017621;0,722
3;1;28;2;3;indirect;uncrossed;1;5,1206971;0,722
3;1;29;2;5;indirect;crossed;0;;0,722
3;1;30;2;4;mixed;crossed;1;19,0519452;0,722
3;1;31;2;5;indirect;crossed;0;21,7469927;0,722
3;1;32;2;4;direct;crossed;1;15,0684841;0,722
3;1;33;2;3;direct;uncrossed;1;8,4073431;0,722
3;1;34;2;3;indirect;crossed;0;18,425139;0,722
3;1;35;2;3;mixed;crossed;0;11,7130996;0,722
3;1;36;2;5;mixed;crossed;1;17,3717894;0,722
3;1;37;3;5;mixed;crossed;1;18,2209342;0,722
3;1;38;3;3;mixed;uncrossed;1;17,4924387;0,722
3;1;39;3;4;indirect;crossed;0;21,7294756;0,722
3;1;40;3;5;direct;uncrossed;1;18,0350365;0,722
3;1;41;3;5;indirect;uncrossed;1;18,4752541;0,722
3;1;42;3;3;indirect;crossed;1;7,3738397;0,722
3;1;43;3;4;mixed;uncrossed;1;18,7827104;0,722
3;1;44;3;3;direct;uncrossed;0;15,270289;0,722
3;1;45;3;4;mixed;crossed;0;22,8503757;0,722
3;1;46;3;5;indirect;crossed;0;17,7117263;0,722
3;1;47;3;3;indirect;uncrossed;1;6,425069;0,722
3;1;48;3;4;indirect;uncrossed;0;10,4079214;0,722
3;1;49;3;5;direct;crossed;1;15,0517194;0,722
3;1;50;3;5;mixed;uncrossed;0;16,7980441;0,722
3;1;51;3;3;mixed;crossed;1;20,086897;0,722
3;1;52;3;3;direct;crossed;1;10,4411795;0,722
3;1;53;3;4;direct;uncrossed;1;12,3566346;0,722
3;1;54;3;4;direct;crossed;0;21,9673532;0,722
3;2;1;1;5;indirect;uncrossed;0;11,6111733;0,722
3;2;2;1;5;direct;uncrossed;1;8,00099;0,722
3;2;3;1;3;direct;uncrossed;0;5,6803832;0,722
3;2;4;1;5;mixed;uncrossed;1;9,0167355;0,722
3;2;5;1;3;indirect;crossed;1;11,1367396;0,722
3;2;6;1;4;mixed;uncrossed;1;10,6954728;0,722
3;2;7;1;4;indirect;uncrossed;1;11,3571632;0,722
3;2;8;1;5;direct;crossed;1;13,60981;0,722
3;2;9;1;3;mixed;crossed;1;13,0672567;0,722
3;2;10;1;3;mixed;uncrossed;1;5,7277707;0,722
3;2;11;1;3;indirect;uncrossed;1;11,3064643;0,722
3;2;12;1;3;direct;crossed;1;10,6105845;0,722
3;2;13;1;4;indirect;crossed;1;20,9487469;0,722
3;2;14;1;4;mixed;crossed;1;14,1713889;0,722
3;2;15;1;5;mixed;crossed;0;14,3050519;0,722
3;2;16;1;4;direct;uncrossed;1;11,7994309;0,722
3;2;17;1;4;direct;crossed;1;15,2369452;0,722
3;2;18;2;3;direct;crossed;1;13,1024722;0,722
3;2;19;2;4;mixed;crossed;1;20,4586629;0,722
3;2;20;2;5;indirect;crossed;1;16,3567498;0,722
3;2;21;2;5;direct;uncrossed;0;15,6283864;0,722
3;2;22;2;5;indirect;crossed;0;23,5943522;0,722
3;2;23;2;3;indirect;uncrossed;1;6,0354438;0,722
3;2;24;2;5;mixed;uncrossed;1;14,559942;0,722
3;2;25;2;4;direct;uncrossed;1;13,153199;0,722
3;2;26;2;4;direct;crossed;1;20,204579;0,722
3;2;27;2;3;indirect;crossed;1;12,7636282;0,722
3;2;28;2;3;mixed;uncrossed;1;9,4416295;0,722
3;2;29;2;4;indirect;crossed;1;13,7134117;0,722
3;2;30;2;4;mixed;uncrossed;0;12,8134275;0,722
3;2;31;2;4;indirect;uncrossed;1;9,5580165;0,722
3;2;32;2;5;mixed;crossed;0;23,8319144;0,722
3;2;33;2;5;indirect;uncrossed;1;20,0518021;0,722
3;2;34;2;3;mixed;crossed;1;8,9848963;0,722
3;2;35;2;5;direct;crossed;1;17,0835551;0,722
3;2;36;2;3;direct;uncrossed;1;10,6117153;0,722
3;2;37;3;4;mixed;uncrossed;1;13,6106794;0,722
3;2;38;3;4;direct;crossed;1;16,3563502;0,722
3;2;39;3;3;indirect;crossed;1;19,0356189;0,722
3;2;40;3;4;mixed;crossed;1;16,3061436;0,722
3;2;41;3;5;direct;uncrossed;1;11,1192962;0,722
3;2;42;3;4;direct;uncrossed;1;10,8136379;0,722
3;2;43;3;4;indirect;crossed;1;18,2549335;0,722
3;2;44;3;5;indirect;crossed;0;19,9163284;0,722
3;2;45;3;5;direct;crossed;1;18,0350891;0,722
3;2;46;3;5;mixed;uncrossed;1;18,2048472;0,722
3;2;47;3;5;indirect;uncrossed;1;19,3735321;0,722
3;2;48;3;3;mixed;uncrossed;1;8,4758744;0,722
3;2;49;3;3;indirect;uncrossed;1;6,6122079;0,722
3;2;50;3;4;indirect;uncrossed;1;4,8138698;0,722
3;2;51;3;3;mixed;crossed;1;9,3745754;0,722
3;2;52;3;5;mixed;crossed;1;18,1385593;0,722
3;2;53;3;3;direct;uncrossed;1;8,4915163;0,722
3;2;54;3;3;direct;crossed;1;8,0178202;0,722
4;1;1;1;5;direct;uncrossed;1;10,9163632;0,63
4;1;2;1;3;direct;uncrossed;1;6,6978027;0,63
4;1;3;1;4;indirect;uncrossed;0;11,4565296;0,63
4;1;4;1;4;direct;uncrossed;1;7,7630959;0,63
4;1;5;1;4;direct;crossed;1;16,5415086;0,63
4;1;6;1;4;mixed;crossed;0;15,119364;0,63
4;1;7;1;4;indirect;crossed;1;19,3887574;0,63
4;1;8;1;5;indirect;uncrossed;0;8,5594941;0,63
4;1;9;1;5;mixed;uncrossed;1;16,6280386;0,63
4;1;10;1;5;direct;crossed;0;16,9669873;0,63
4;1;11;1;3;mixed;uncrossed;1;12,5769715;0,63
4;1;12;1;3;indirect;uncrossed;0;15,189522;0,63
4;1;13;1;4;mixed;uncrossed;1;14,1887061;0,63
4;1;14;1;3;indirect;crossed;1;7,7973526;0,63
4;1;15;1;5;mixed;crossed;0;18,2378746;0,63
4;1;16;1;3;mixed;crossed;1;18,4758784;0,63
4;1;17;1;3;direct;crossed;1;12,0517637;0,63
4;1;18;2;4;direct;crossed;1;10,780167;0,63
4;1;19;2;4;direct;uncrossed;1;8,1192123;0,63
4;1;20;2;5;direct;crossed;1;17,9499332;0,63
4;1;21;2;4;indirect;uncrossed;1;8,8822107;0,63
4;1;22;2;3;direct;uncrossed;1;7,456697;0,63
4;1;23;2;3;mixed;crossed;1;23,3403878;0,63
4;1;24;2;3;indirect;uncrossed;1;8,3230476;0,63
4;1;25;2;5;indirect;crossed;0;16,6279061;0,63
4;1;26;2;4;mixed;crossed;0;23,3230075;0,63
4;1;27;2;3;indirect;crossed;1;8,5601297;0,63
4;1;28;2;5;indirect;uncrossed;0;9,3073164;0,63
4;1;29;2;3;mixed;uncrossed;1;5,3561584;0,63
4;1;30;2;5;mixed;crossed;1;11,7127969;0,63
4;1;31;2;5;indirect;crossed;0;18,6622199;0,63
4;1;32;2;5;mixed;uncrossed;1;7,983645;0,63
4;1;33;2;4;indirect;crossed;0;6,71221;0,63
4;1;34;2;5;direct;uncrossed;1;4,9840937;0,63
4;1;35;2;3;direct;crossed;0;11,5604068;0,63
4;1;36;2;4;mixed;uncrossed;0;7,0849569;0,63
4;1;37;3;3;indirect;uncrossed;0;7,7987833;0,63
4;1;38;3;4;direct;crossed;1;21,8313232;0,63
4;1;39;3;3;direct;crossed;1;8,1029523;0,63
4;1;40;3;5;direct;crossed;0;15,9027259;0,63
4;1;41;3;3;direct;uncrossed;1;15,526424;0,63
4;1;42;3;4;indirect;crossed;0;14,187125;0,63
4;1;43;3;5;mixed;crossed;0;10,9670326;0,63
4;1;44;3;4;indirect;uncrossed;0;5,9827679;0,63
4;1;45;3;4;direct;uncrossed;1;8,1045327;0,63
4;1;46;3;3;mixed;uncrossed;1;9,6435093;0,63
4;1;47;3;5;mixed;uncrossed;1;6,7295127;0,63
4;1;48;3;4;mixed;crossed;1;14,4580834;0,63
4;1;49;3;5;indirect;uncrossed;0;5,4925383;0,63
4;1;50;3;3;mixed;crossed;1;13,6623767;0,63
4;1;51;3;5;direct;uncrossed;1;5,9333746;0,63
4;1;52;3;5;indirect;crossed;0;19,305626;0,63
4;1;53;3;4;mixed;uncrossed;1;6,3735085;0,63
4;1;54;3;3;indirect;crossed;0;10,7817224;0,63
4;2;1;1;3;direct;crossed;0;9,576737;0,63
4;2;2;1;5;mixed;uncrossed;1;7,6612939;0,63
4;2;3;1;5;mixed;crossed;1;13,7972769;0,63
4;2;4;1;3;indirect;uncrossed;1;6,4921044;0,63
4;2;5;1;4;direct;uncrossed;1;7,7476198;0,63
4;2;6;1;3;mixed;uncrossed;1;6,0845425;0,63
4;2;7;1;5;direct;uncrossed;1;5,8485795;0,63
4;2;8;1;3;indirect;crossed;1;21,8989274;0,63
4;2;9;1;4;mixed;uncrossed;0;7,4244753;0,63
4;2;10;1;4;mixed;crossed;0;22,1373993;0,63
4;2;11;1;3;mixed;crossed;0;20,2389744;0,63
4;2;12;1;4;direct;crossed;0;22,068208;0,63
4;2;13;1;3;direct;uncrossed;1;9,0688584;0,63
4;2;14;1;5;direct;crossed;0;14,3057912;0,63
4;2;15;1;5;indirect;uncrossed;0;17,1025427;0,63
4;2;16;1;4;indirect;crossed;0;;0,63
4;2;17;1;4;indirect;uncrossed;1;4,5617379;0,63
4;2;18;2;4;indirect;uncrossed;1;8,5600494;0,63
4;2;19;2;4;direct;crossed;0;;0,63
4;2;20;2;5;mixed;crossed;1;12,0175814;0,63
4;2;21;2;4;indirect;crossed;1;12,8472694;0,63
4;2;22;2;4;mixed;crossed;1;21,1701244;0,63
4;2;23;2;5;direct;uncrossed;1;5,8638884;0,63
4;2;24;2;3;direct;crossed;1;16,5770497;0,63
4;2;25;2;4;direct;uncrossed;1;9,4396741;0,63
4;2;26;2;3;mixed;uncrossed;0;8,7633835;0,63
4;2;27;2;3;indirect;uncrossed;1;9,4749992;0,63
4;2;28;2;3;indirect;crossed;1;6,2211499;0,63
4;2;29;2;4;mixed;uncrossed;1;9,7456821;0,63
4;2;30;2;3;direct;uncrossed;1;5,2717704;0,63
4;2;31;2;3;mixed;crossed;1;12,9989413;0,63
4;2;32;2;5;direct;crossed;0;13,3228899;0,63
4;2;33;2;5;indirect;uncrossed;1;9,0347809;0,63
4;2;34;2;5;indirect;crossed;0;16,2210309;0,63
4;2;35;2;5;indirect;crossed;0;15,3582118;0,63
4;2;36;2;5;mixed;uncrossed;1;8,2379869;0,63
4;2;37;3;4;direct;crossed;1;21,0170744;0,63
4;2;38;3;4;mixed;crossed;0;14,7950787;0,63
4;2;39;3;3;indirect;uncrossed;1;4,8145706;0,63
4;2;40;3;5;direct;uncrossed;1;8,0680973;0,63
4;2;41;3;5;mixed;uncrossed;1;21,5431479;0,63
4;2;42;3;5;direct;crossed;1;20,0856688;0,63
4;2;43;3;3;indirect;crossed;0;8,6958849;0,63
4;2;44;3;3;mixed;uncrossed;1;8,662155;0,63
4;2;45;3;5;indirect;uncrossed;0;8,7618158;0,63
4;2;46;3;4;direct;uncrossed;1;10,9665123;0,63
4;2;47;3;4;indirect;crossed;1;15,6275188;0,63
4;2;48;3;4;mixed;uncrossed;1;7,5439019;0,63
4;2;49;3;3;direct;crossed;1;7,3729979;0,63
4;2;50;3;3;mixed;crossed;0;9,3917268;0,63
4;2;51;3;5;indirect;crossed;0;;0,63
4;2;52;3;4;indirect;uncrossed;1;7,5071111;0,63
4;2;53;3;5;mixed;crossed;0;10,8471469;0,63
4;2;54;3;3;direct;uncrossed;1;7,1345421;0,63
5;1;1;1;5;indirect;uncrossed;0;21,746858;0,38
5;1;2;1;3;direct;uncrossed;1;6,5763657;0,38
5;1;3;1;3;indirect;crossed;1;18,1892222;0,38
5;1;4;1;3;mixed;uncrossed;0;18,4749634;0,38
5;1;5;1;4;direct;crossed;0;22,8653866;0,38
5;1;6;1;5;mixed;uncrossed;1;17,2041458;0,38
5;1;7;1;5;direct;crossed;0;;0,38
5;1;8;1;4;indirect;crossed;0;20,3740457;0,38
5;1;9;1;3;direct;crossed;1;8,6961809;0,38
5;1;10;1;3;mixed;crossed;0;16,3719967;0,38
5;1;11;1;4;indirect;uncrossed;1;17,0686032;0,38
5;1;12;1;5;mixed;crossed;0;13,0674942;0,38
5;1;13;1;4;mixed;crossed;0;6,577282;0,38
5;1;14;1;4;mixed;uncrossed;0;14,6470597;0,38
5;1;15;1;5;direct;uncrossed;1;15,4903126;0,38
5;1;16;1;3;indirect;uncrossed;1;14,0697661;0,38
5;1;17;1;4;direct;uncrossed;1;11,8317963;0,38
5;1;18;2;3;indirect;uncrossed;1;18,6626;0,38
5;1;19;2;3;mixed;uncrossed;1;17,1534084;0,38
5;1;20;2;4;indirect;crossed;1;16,2552205;0,38
5;1;21;2;3;indirect;crossed;0;20,2046329;0,38
5;1;22;2;5;indirect;crossed;1;23,3737709;0,38
5;1;23;2;5;mixed;crossed;0;20,9839446;0,38
5;1;24;2;3;direct;uncrossed;1;8,1701642;0,38
5;1;25;2;5;indirect;uncrossed;0;22,9503656;0,38
5;1;26;2;4;mixed;uncrossed;0;9,5419499;0,38
5;1;27;2;5;indirect;crossed;0;16,6786041;0,38
5;1;28;2;5;direct;crossed;1;20,5767483;0,38
5;1;29;2;3;mixed;crossed;0;11,8823178;0,38
