GENDER;AGE;RAPM_PAP;ANALOGIES_PAP;CFT_PAP;CFT_COMP;RAPM_COMP;ANALOGIES_COMP;RAPM;ANALOGIES;CFT;FLUID_REASON_FACTOR_SCORES;MONITORING;MATCHING;COMPARING;MC;SSPAN;CSPAN;RT_RAPM;RT_ANALOGIES;RT_CFT;RT_MONIT;RT_MATCH;RT_COMPAR
F;23;0,83;0,78;0,67;0,67;0,78;0,78;0,81;0,78;0,67;0,7;0,94;0,61;0,76;0,67;0,65;0,59;41,78;40,07;25,39;8,36;12,06;10,71
F;24;0,78;0,78;0,72;0,61;0,56;0,78;0,67;0,78;0,67;0,33;0,85;0,66;0,88;0,66;0,63;0,49;39,72;27,88;29,82;;13,21;10,86
F;19;0,72;0,72;0,78;0,5;0,56;0,56;0,64;0,64;0,64;-0,22;0,75;0,66;0,62;0,36;0,64;0,46;46,92;35,16;26,42;;14,51;10,67
F;21;0,44;0,61;0,67;0,5;0,11;0,67;0,28;0,64;0,58;-1,34;0,73;0,5;0,86;0,06;0,85;0,36;23,68;45,11;31,45;;12,2;9,36
F;20;0,83;0,94;0,78;0,89;0,56;0,72;0,69;0,83;0,83;1;0,74;0,82;0,58;0,46;0,95;0,86;39,24;35,89;24,32;8,86;12,05;10,8
M;24;0,44;0,44;0,5;0,39;0,44;0,28;0,44;0,36;0,44;-2,1;0,7;0,59;0,62;0,18;0,85;0,54;49,5;31,05;27,43;9,92;12,76;11,75
F;23;0,83;0,89;0,78;0,72;0,83;0,83;0,83;0,86;0,75;1,21;0,89;0,82;0,84;0,57;0,93;0,76;56,29;35,74;34;;12,27;10,86
F;23;0,72;0,78;0,67;0,67;0,72;0,83;0,72;0,81;0,67;0,54;0,92;0,89;0,9;0,66;0,84;0,83;63,46;40,57;35,32;8,13;13,32;9,91
M;23;0,61;0,78;0,83;0,78;0,72;0,56;0,67;0,67;0,81;0,45;0,86;0,59;0,82;0,47;0,99;0,43;65,35;29,59;35,39;6,87;11,39;9,49
M;23;0,39;0,44;0,83;0,83;0,78;0,67;0,58;0,56;0,83;-0,03;0,78;0,84;0,76;0,47;0,95;0,62;65,59;41,57;26,34;;10,59;8,06
F;21;0,72;0,94;0,83;0,83;0,72;0,67;0,72;0,81;0,83;1,02;0,78;0,75;0,84;0,57;0,86;0,86;65,39;42,04;20,4;8,61;13,37;9,32
F;20;0,67;0,56;0,83;0,61;0,5;0,89;0,58;0,72;0,72;0,08;0,84;0,57;0,74;0,79;0,81;0,74;62,5;38,69;32,11;8,16;16,42;11,75
F;24;0,56;0,67;0,56;0,56;0,67;0,67;0,61;0,67;0,56;-0,45;0,82;0,57;0,86;0,46;0,84;0,6;56,29;27,97;21,89;;11,14;9,58
M;20;0,94;1;0,83;0,78;0,83;0,78;0,89;0,89;0,81;1,62;0,38;0,93;0,92;0,39;0,9;0,62;62,62;37,76;34,03;9,53;9,91;9,27
F;21;0,44;0,61;0,83;0,72;0,61;0,56;0,53;0,58;0,78;-0,25;0,76;0,61;0,72;0,46;0,9;0,24;18,44;20,13;13,62;6,49;10,32;10,17
M;22;0,72;0,89;0,67;0,56;0,61;0,61;0,67;0,75;0,61;0,07;0,8;0,84;0,78;0,58;0,82;0,44;36,81;34,15;32,52;10,61;13,45;10,27
F;19;0,72;0,78;0,78;0,89;0,72;0,67;0,72;0,72;0,83;0,77;0,68;0,55;0,84;0,83;0,83;0,67;42,39;29;17,3;8,51;14,6;10,08
F;22;0,72;0,56;0,78;0,78;0,5;0,56;0,61;0,56;0,78;-0,1;0,86;0,3;0,76;0,39;0,63;0,49;64,29;47,2;39,35;11,22;14,73;12,28
F;28;0,61;0,67;0,5;0,67;0,44;0,61;0,53;0,64;0,58;-0,69;0,88;0,59;0,44;0,47;0,76;0,37;36,45;37,27;37,1;8,24;12,24;6,2
F;18;0,61;0,78;0,72;0,61;0,89;0,83;0,75;0,81;0,67;0,62;0,84;0,66;0,88;0,64;0,87;0,3;64,37;44,17;42,79;11,94;14,74;12,12
F;22;0,78;0,83;0,61;0,67;0,67;0,94;0,72;0,89;0,64;0,67;0,94;0,7;0,9;0,47;0,91;0,66;65,25;37,17;26,02;8,29;10,87;10,48
F;21;0,39;0,61;0,61;0,67;0,39;0,39;0,39;0,5;0,64;-1,25;0,22;0,5;0,38;0,52;0,8;0,59;28,74;16,37;23,81;7,01;10,25;8,16
F;25;0,67;0,56;0,67;0,28;0,56;0,33;0,61;0,44;0,47;-1,35;0,72;0,41;0,4;0,22;0,64;0,58;62,29;46,77;38,81;9,89;12,68;12,73
F;23;0,61;0,67;0,56;0,44;0,56;0,72;0,58;0,69;0,5;-0,66;0,82;0,66;0,82;0,67;0,81;0,43;40,64;37,12;23,29;8,89;15,28;10,27
F;23;0,83;0,72;0,72;0,83;0,67;0,72;0,75;0,72;0,78;0,7;0,86;0,84;0,96;0,51;0,81;0,57;52,84;39,29;26,67;9,89;14,13;10,24
F;21;0,44;0,72;0,44;0,56;0,61;0,67;0,53;0,69;0,5;-0,79;0,75;0,55;0,7;0,46;0,57;0,49;64,44;47,18;31,12;;12,98;10,54
M;22;0,61;0,83;0,44;0,56;0,89;0,67;0,75;0,75;0,5;-0,05;0,87;0,77;0,92;0,49;0,8;0,39;62,5;43,83;29,73;;11;9,13
F;19;0,56;0,89;0,56;0,56;0,72;0,94;0,64;0,92;0,56;0,31;0,79;0,68;0,7;0,44;0,85;0,45;42,4;37,86;22,06;;11,73;8,2
F;28;0,56;0,72;0,44;0,61;0,61;0,61;0,58;0,67;0,53;-0,62;0,72;0,61;0,74;0,26;0,83;0,41;65,54;42,76;37,14;8,78;13,38;10,11
F;22;0,94;0,89;0,78;0,56;0,78;0,83;0,86;0,86;0,67;1,05;0,92;0,73;0,9;0,7;0,93;0,82;30,2;26,13;16,95;;8,61;7,06
M;21;0,78;0,89;0,67;0,72;0,89;0,78;0,83;0,83;0,69;0,95;0,82;0,82;0,94;0,86;0,92;0,87;59,03;48,35;39,71;8,49;13,1;11,13
F;21;0,72;0,94;0,61;0,61;0,78;0,56;0,75;0,75;0,61;0,28;0,74;0,59;0,46;0,52;0,75;0,51;51,74;44,03;36,1;;12,66;9,43
F;21;0,56;0,67;0,61;0,67;0,5;0,72;0,53;0,69;0,64;-0,37;0,4;0,52;0,8;0,54;0,8;0,17;64,75;43,53;40,37;10,83;15,24;9,86
F;21;0,72;0,83;0,78;0,67;0,72;0,83;0,72;0,83;0,72;0,75;0,78;0,57;0,84;0,45;0,89;0,57;41,53;39,64;23,53;7,92;11,9;10,58
F;22;0,61;0,67;0,72;0,67;0,33;0,61;0,47;0,64;0,69;-0,51;0,86;0,61;0,44;0,62;0,8;0,38;46,1;36,94;24,52;8,39;13,41;9,33
F;24;0,33;0,56;0,5;0,61;0,39;0,67;0,36;0,61;0,56;-1,27;0,78;0,7;0,66;0,58;0,63;0,45;50,15;41,89;36,27;10,63;13,82;12,21
F;20;0,56;0,72;0,78;0,67;0,56;0,72;0,56;0,72;0,72;0,03;0,79;0,5;0,78;0,52;0,59;0,56;64,69;43,98;28,32;;13,96;12,44
F;24;0,5;0,56;0,61;0,44;0,28;0,67;0,39;0,61;0,53;-1,28;0,8;0,41;0,78;0,34;0,73;0,33;63,79;45,68;52,09;9,5;15,8;10,28
M;24;0,83;0,83;0,72;0,5;0,72;0,72;0,78;0,78;0,61;0,44;0,78;0,55;0,9;0,59;0,8;0,72;61,96;35,91;35,95;7,95;11,15;10,85
F;22;0,89;0,89;0,67;0,56;0,67;0,94;0,78;0,92;0,61;0,82;0,9;0,8;0,84;0,56;0,87;0,22;61,1;35,91;34,55;9,01;12,35;11,6
F;29;0,56;0,56;0,61;0,56;0,5;0,61;0,53;0,58;0,58;-0,85;0,4;0,23;0,46;0,41;0,57;0,57;61,02;46,6;32,09;6,57;10,29;10,73
F;23;0,56;0,67;0,89;0,61;0,67;0,67;0,61;0,67;0,75;0,11;0,94;0,55;0,86;0,46;0,74;0,28;64,75;48,31;41,82;7,64;14,67;10,38
F;27;0,67;0,67;0,72;0,61;0,56;0,67;0,61;0,67;0,67;-0,13;0,86;0,77;0,64;0,46;0,75;0,47;63,19;46,5;42,57;9,87;15,97;11,5
F;18;0,61;0,56;0,56;0,5;0,61;0,44;0,61;0,5;0,53;-1,01;0,36;0,59;0,64;0,48;0,66;0,4;52,06;39,13;48,44;9,15;10,83;10,34
F;27;0,67;0,67;0,67;0,61;0,72;0,56;0,69;0,61;0,64;-0,17;0,96;0,75;0,82;0,52;0,9;0,94;56,64;44,18;25,35;8,85;15,68;10,89
F;21;0,72;0,78;0,61;0,67;0,72;0,83;0,72;0,81;0,64;0,45;0,86;0,77;0,92;0,58;0,8;0,61;37,28;31,57;20,27;7,57;12,57;10,61
F;20;0,5;0,72;0,56;0,56;0,72;0,78;0,61;0,75;0,56;-0,24;0,8;0,57;0,76;0,64;0,76;0,62;31,37;30,96;18,44;;12,03;9,72
M;26;0,5;0,78;0,61;0,39;0,67;0,5;0,58;0,64;0,5;-0,79;0,52;0,32;0,34;0,47;0,77;0,52;53,75;34,96;29,62;7,67;8,66;5,72
M;23;0,67;0,78;0,67;0,83;0,72;0,67;0,69;0,72;0,75;0,46;0,94;0,68;0,88;0,62;0,73;0,53;65,54;44,66;37,05;8,54;17,18;11,55
M;26;0,5;0,33;0,78;0,67;0,39;0,56;0,44;0,44;0,72;-1,05;0,61;0,52;0,38;0,41;0,56;0,3;64,8;47,72;56,74;;16,5;12,3
M;24;0,67;0,72;0,44;0,83;0,83;0,61;0,75;0,67;0,64;0,15;0,8;0,82;0,72;0,5;0,95;0,64;61,46;40,67;43,83;7,11;11,5;10,13
M;23;0,78;0,94;0,78;0,67;0,89;0,78;0,83;0,86;0,72;1,12;1;0,75;0,84;0,73;0,96;0,65;65,37;41,7;55,91;8,2;14,7;11,49
F;20;0,89;0,83;0,72;0,78;0,89;0,83;0,89;0,83;0,75;1,28;0,9;0,8;0,98;0,7;0,96;0,75;55,68;47,04;45,33;12,19;15,63;10,28
F;26;0,33;0,67;0,44;0,39;0,39;0,44;0,36;0,56;0,42;-1,82;0,76;0,41;0,59;0,52;0,66;0,23;32,07;31,39;15,14;9,37;14,17;11,44
F;21;0,72;0,72;0,61;0,61;0,67;0,78;0,69;0,75;0,61;0,12;0,74;0,84;0,96;0,93;0,86;0,51;65,39;36,63;52,2;8,94;14,41;9,63
M;26;0,5;0,56;0,44;0,28;0,28;0,33;0,39;0,44;0,36;-2,25;0,74;0,39;0,28;0,23;0,64;0,43;30,59;26,05;26,04;8,34;15,12;9,52
F;23;0,78;0,83;0,61;0,67;0,67;0,67;0,72;0,75;0,64;0,29;0,87;0,68;0,91;0,57;0,85;0,61;34,59;36,99;29,79;;12,79;12,06
F;21;0,67;0,67;0,61;0,61;0,67;0,65;0,67;0,66;0,61;-0,18;0,88;0,61;0,96;0,4;0,81;0,86;34,27;;33,78;8,52;10,69;9,54
F;20;0,39;0,67;0,44;0,44;0,39;0,61;0,39;0,64;0,44;-1,47;0,82;0,48;0,77;0,8;0,66;0,25;35,96;31,77;28,05;8,59;12,53;10,85
F;20;0,56;0,72;0,78;0,72;0,72;0,83;0,64;0,78;0,75;0,49;0,82;0,82;0,75;0,68;0,81;0,64;65,19;48,51;32,03;7,97;12,01;11,76
F;19;0,44;0,72;0,67;0,61;0,67;0,72;0,56;0,72;0,64;-0,21;0,96;0,64;0,84;0,64;0,75;0,78;45,97;25,78;24,7;8,57;12,82;10,83
F;23;0,94;0,83;0,89;0,72;0,94;0,72;0,94;0,78;0,81;1,45;0,96;0,73;0,91;0,49;0,73;0,75;65,14;46,02;40,23;10,01;16,84;11,9
F;22;0,67;0,44;0,72;0,5;0,44;0,39;0,56;0,42;0,61;-1,12;0,87;0,36;0,85;0,27;0,73;0,69;59,56;46,59;40,16;9,39;16,59;11,8
M;20;0,44;0,61;0,72;0,61;0,5;0,72;0,47;0,67;0,67;-0,49;0,73;0,73;0,84;0,62;0,87;0,53;44,66;42,4;30,6;9,76;15,08;10,56
F;20;0,72;0,61;0,61;0,61;0,67;0,72;0,69;0,67;0,61;-0,1;0,9;0,66;0,8;0,53;0,94;0,76;64,16;46,55;31,49;7,29;12,77;9,43
M;24;0,67;0,78;0,67;0,44;0,5;0,67;0,58;0,72;0,56;-0,4;0,77;0,64;0,74;0,43;0,76;0,73;53,08;48,11;39,22;10,32;13,59;12,63
M;31;0,94;0,83;0,61;0,72;0,78;0,67;0,86;0,75;0,67;0,74;0,94;0,73;0,83;0,58;0,88;0,59;46,36;46,44;27,36;9,79;13,85;10,63
M;21;0,89;0,83;0,94;0,89;0,83;1;0,86;0,92;0,92;1,96;0,81;0,89;0,85;0,43;0,96;0,57;45,41;32,46;38,48;7,23;12,4;8,5
F;21;0,5;0,72;0,56;0,56;0,5;0,5;0,5;0,61;0,56;-0,91;0,67;0,61;0,81;0,45;0,7;0,65;49,52;35,06;32,88;8,41;16,1;9,76
F;21;0,39;0,89;0,28;0,44;0,28;0,72;0,33;0,81;0,36;-1,4;0,86;0,5;0,67;0,34;0,37;0,34;37,3;35,97;32,39;9,41;14,88;8,5
F;21;0,72;0,78;0,5;0,61;0,67;0,61;0,69;0,69;0,56;-0,19;0,9;0,75;0,93;0,44;0,96;0,52;30,25;32,9;16,74;9,31;13,3;11,85
F;18;0,83;0,78;0,67;0,67;0,61;0,94;0,72;0,86;0,67;0,68;0,94;0,8;0,96;0,45;0,75;0,56;58,5;34,76;33,4;7,92;13,48;9,74
M;20;0,56;0,78;0,61;0,44;0,39;0,61;0,47;0,69;0,53;-0,85;0,94;0,77;0,76;0,7;1;0,64;55,51;32,58;28,91;9,84;14,73;11,1
M;19;0,94;0,78;0,72;0,61;0,67;0,72;0,81;0,75;0,67;0,61;0,91;0,57;0,8;0,54;0,86;0,73;46,43;39,16;31,71;9,83;11,2;10,94
F;25;0,33;0,61;0,72;0,61;0,44;0,22;0,39;0,42;0,67;-1,38;0,61;0,59;0,64;0,5;0,72;0,33;25,75;21,86;11,8;7,44;10,4;10,73
F;26;0,44;0,56;0,5;0,56;0,56;0,56;0,5;0,56;0,53;-1,13;0,93;0,61;0,91;0,48;0,67;0,29;43,26;30,49;20,18;11,54;15,43;10,1
F;20;0,33;0,78;0,61;0,67;0,56;0,61;0,44;0,69;0,64;-0,6;0,71;0,57;0,82;0,45;0,82;0,62;36,42;33,95;23,12;9,16;14,56;11,13
F;25;0,89;0,89;0,67;0,72;0,89;0,72;0,89;0,81;0,69;1,05;0,94;0,75;0,77;0,86;0,8;0,42;44,84;34,97;37,91;8,02;13,4;12,51
M;24;0,67;0,67;0,39;0,5;0,5;0,89;0,58;0,78;0,44;-0,59;0,82;0,64;0,51;0,66;0,75;0,46;34,04;35,91;30,25;9,43;12,39;11,84
M;22;0,67;0,83;0,83;0,61;0,56;0,83;0,61;0,83;0,72;0,46;0,84;0,66;0,83;0,4;0,63;0,42;52,11;44,29;33,97;9,65;13,62;11,57
